id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,product
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,Bwitch Beige Full-Coverage Bra BW335 for Women's Casual wear in 2016 for Summer season
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,Baggit Women Brown Handbag for Women's Casual wear in 2012 for Summer season
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223 for Men's Casual wear in 2016 for Winter season
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,ADIDAS Men Spry M Black Sandals for Men's Casual wear in 2011 for Fall season
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,Timberland Unisex Rubber Sole Brush Shoe Accessories for Unisex's Casual wear in 2011 for Summer season
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,ADIDAS Men Lfc Auth Hood Grey Sweatshirts for Men's Sports wear in 2011 for Fall season
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos,David Beckham Signature Men Deos for Men's Casual wear in 2017 for Spring season
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,Buckaroo Men Flores Black Formal Shoes for Men's Formal wear in 2011 for Winter season
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,Pitaraa Women Bronze Beaded Bracelet for Women's Casual wear in 2012 for Winter season
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,Fila Men's Round Neck Navy Blue T-shirt for Men's Sports wear in 2011 for Fall season
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Colorbar Soft Touch Show Stopper Copper Lipstick 037 for Women's Casual wear in 2017 for Spring season
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,Murcia Women Casual Brown Handbag for Women's Casual wear in 2015 for Winter season
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,John Players Men Navy Blue Shirt for Men's Formal wear in 2012 for Summer season
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear for Boys's Casual wear in 2011 for Summer season
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,John Players Men Brown Shirt for Men's Casual wear in 2012 for Summer season
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes,Gas Men Europa White Shoes for Men's Casual wear in 2014 for Winter season
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,Carlton London Women Black & Gold Toned Flats for Women's Casual wear in 2012 for Winter season
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,Diva Women Embroided Green Kurta for Women's Ethnic wear in 2011 for Fall season
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag,Rocky S Women White Handbag for Women's Casual wear in 2012 for Summer season
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,Kiara Women Teal Handbag for Women's Casual wear in 2012 for Summer season
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,Fossil Women Copper Chronograph Watch CH2589 for Women's Casual wear in 2016 for Winter season
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,Jealous 21 Women's Pink T-shirt for Women's Casual wear in 2011 for Summer season
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,Peter England Men Formal Black Belt for Men's Formal wear in 2011 for Fall season
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats,Catwalk Women Leather Brown Flats for Women's Casual wear in 2015 for Winter season
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,Maxima Ssteele Men Off White Watch for Men's Casual wear in 2016 for Winter season
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,W Women Printed Beige Kurta for Women's Ethnic wear in 2012 for Summer season
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat,Scullers Men  Grey Waistcoat for Men's Casual wear in 2011 for Fall season
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,Nike Men's Incinerate MSL White Blue Shoe for Men's Sports wear in 2010 for Fall season
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,Puma Men Long Logo Black Bermuda for Men's Sports wear in 2011 for Summer season
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016,Casual,Levis Men Boxer Maroon Brief,Levis Men Boxer Maroon Brief for Men's Casual wear in 2016 for Winter season
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,John Miller Men Stripes White Red Shirts for Men's Formal wear in 2011 for Fall season
38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt,Baggit Women Hood Dabang Black Belt for Women's Casual wear in 2012 for Summer season
44984,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Women White Dial Watch,Maxima Women White Dial Watch for Women's Casual wear in 2016 for Winter season
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes,Clarks Men Hang Work Leather Black Formal Shoes for Men's Formal wear in 2012 for Fall season
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta,Vishudh Women Brown Kurta for Women's Ethnic wear in 2012 for Summer season
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Playboy Men Blue Titanium Briefs,Playboy Men Blue Titanium Briefs for Men's Casual wear in 2016 for Summer season
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes,Arrow Men Black Formal Shoes for Men's Formal wear in 2012 for Summer season
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt,Puma Men's Stripe Polo Black T-shirt for Men's Casual wear in 2011 for Summer season
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt,Nike Women Purple Polo T-shirt for Women's Casual wear in 2012 for Summer season
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,Gini and Jony Boy's Kaleb White Brown Kidswear for Men's Casual wear in 2011 for Summer season
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Carrera Men Dial steel finish strap Silver Watches,Carrera Men Dial steel finish strap Silver Watches for Men's Casual wear in 2016 for Winter season
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts,Wrangler Men Motor Rider Red T-Shirts for Men's Casual wear in 2011 for Fall season
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari,FNF Pink & Grey Wedding Collection Sari for Women's Ethnic wear in 2012 for Fall season
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts,Puma Men Scribble Black Tshirts for Men's Casual wear in 2011 for Fall season
45258,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,CASIO EDIFICE Men Black Dial Chronograph Watch ED60 for Men's Casual wear in 2016 for Winter season
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,French Connection Women Beige Handbag,French Connection Women Beige Handbag for Women's Casual wear in 2012 for Summer season
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Timberland Men Black Casual Shoes,Timberland Men Black Casual Shoes for Men's Casual wear in 2012 for Fall season
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012,Casual,Vans Men Classic Slip-On Purple & Black Shoes,Vans Men Classic Slip-On Purple & Black Shoes for Men's Casual wear in 2012 for Summer season
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual,Police Women Passion Perfume,Police Women Passion Perfume for Women's Casual wear in 2017 for Spring season
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,ADIDAS Men's Lowell White Silver Shoe,ADIDAS Men's Lowell White Silver Shoe for Men's Sports wear in 2011 for Summer season
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,Do U Speak Green Men Blue Shorts,Do U Speak Green Men Blue Shorts for Men's Casual wear in 2012 for Summer season
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012,Casual,ID Men Red Shoes,ID Men Red Shoes for Men's Casual wear in 2012 for Fall season
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Peperone Women Black & White Handbag,Peperone Women Black & White Handbag for Women's Casual wear in 2012 for Summer season
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012,Casual,Vans Men Khaki Shoes,Vans Men Khaki Shoes for Men's Casual wear in 2012 for Summer season
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Casual,Indigo Nation Men Reversible Bling Pink Shirts,Indigo Nation Men Reversible Bling Pink Shirts for Men's Casual wear in 2011 for Fall season
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Women Black T-shirt,Nike Women Black T-shirt for Women's Sports wear in 2010 for Fall season
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,ADIDAS Men Blue Sweatshirt,ADIDAS Men Blue Sweatshirt for Men's Casual wear in 2011 for Fall season
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Manchester United Men Solid Red Tshirt,Manchester United Men Solid Red Tshirt for Men's Casual wear in 2011 for Fall season
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats,Rocia Women Black Flats for Women's Casual wear in 2012 for Winter season
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Leather Flats,Catwalk Women Leather Flats for Women's Casual wear in 2015 for Winter season
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Green Top,Mineral Women Green Top for Women's Casual wear in 2012 for Summer season
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals,Crocs Dora Boots Pink Sandals for Women's Casual wear in 2011 for Fall season
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Image Men Sunglasses,Image Men Sunglasses for Men's Casual wear in 2016 for Winter season
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011,Casual,Lotto Men XL Water Man Silver Slippers,Lotto Men XL Water Man Silver Slippers for Men's Casual wear in 2011 for Fall season
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,United Colors of Benetton Men Solid Pink Polo T-shirts for Men's Casual wear in 2011 for Summer season
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,Levis Men Comfort Style Grey Innerwear Vest,Levis Men Comfort Style Grey Innerwear Vest for Men's Casual wear in 2016 for Summer season
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013,Casual,Reebok Men Black Possession Flip Flops,Reebok Men Black Possession Flip Flops for Men's Casual wear in 2013 for Summer season
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual,Lucera Women Silver Pendant,Lucera Women Silver Pendant for Women's Casual wear in 2012 for Summer season
44970,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Men White Dial Analog Chronograph Watch,Maxima Men White Dial Analog Chronograph Watch for Men's Casual wear in 2016 for Winter season
56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017,,Streetwear Ash Nail Polish # 31,Streetwear Ash Nail Polish # 31 for Women's nan wear in 2017 for Spring season
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012,Casual,Peter England Unisex Orange Sleeve Bag,Peter England Unisex Orange Sleeve Bag for Unisex's Casual wear in 2012 for Summer season
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Puma Men Axis White & Grey Sports Shoes,Puma Men Axis White & Grey Sports Shoes for Men's Sports wear in 2012 for Summer season
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,Tonga Women Maroon Top,Tonga Women Maroon Top for Women's Casual wear in 2012 for Summer season
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf,Femella Women Brown Scarf for Women's Casual wear in 2012 for Summer season
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,2012,,Just Natural Unisex Charcoal Rain Jacket,Just Natural Unisex Charcoal Rain Jacket for Unisex's nan wear in 2012 for Summer season
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Men's Twelve Faster T-shirt,ADIDAS Men's Twelve Faster T-shirt for Men's Casual wear in 2011 for Summer season
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress,Arrow Woman Women Blue Dress for Women's Casual wear in 2012 for Summer season
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,Levis Men Red Brief,Levis Men Red Brief for Men's Casual wear in 2016 for Summer season
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,Ganuchi Men Casual Black Sandals,Ganuchi Men Casual Black Sandals for Men's Casual wear in 2011 for Summer season
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124 for Women's Casual wear in 2017 for Summer season
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Indigo Nation Men Printed Black T-shirt,Indigo Nation Men Printed Black T-shirt for Men's Casual wear in 2012 for Summer season
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017,Casual,DKNY Women Red Delicious Perfume,DKNY Women Red Delicious Perfume for Women's Casual wear in 2017 for Spring season
